fieldID, ra (rad), dec (rad)
(392, 1.1009814209912931, -1.0189288285947053)
(393, 3.9255678900168114, -1.0189288285947053)
(394, 2.3576174171627753, -1.0189288285947053)
(395, 6.127529400418851, -1.0189287620156795)
(396, 0.15565608985305834, -1.0189287620156795)
(397, 4.490519432073536, -1.0153135208358959)
(398, 1.792665608789942, -1.0153135208358959)
(399, 4.305941063242316, -1.0153131213617321)
(400, 1.9772442439372702, -1.0153131213617321)
(401, 3.2338818380054035, -1.0153129882036782)
(402, 3.049303469174183, -1.0153129882036782)
(403, 5.747154895612789, -1.0153125221504886)
(404, 0.5360301785401939, -1.0153125221504886)
(405, 5.562578657310467, -1.0153122558343788)
(406, 0.7206068496062104, -1.0153122558343788)
(407, 4.769039210460639, -1.0115596621213758)
(408, 1.514146229877004, -1.0115596621213758)
(409, 3.5124029479730456, -1.0115591960681842)
(410, 2.77078235920654, -1.0115591960681842)
(411, 4.027418621694134, -1.0115591294891564)
(412, 2.2557666854854523, -1.0115591294891564)
(413, 5.284056748394483, -1.0115588631730486)
(414, 0.9991283590480218, -1.0115588631730486)
(415, 6.025676271896556, -1.0115585968569387)
(416, 0.25750896870400525, -1.0115585968569387)
(417, 3.41334747017587, -1.0003640657938186)
(418, 2.8698378370037156, -1.0003640657938186)
(419, 5.926621060415489, -1.0003637994777088)
(420, 0.3565639804479842, -1.0003637994777088)
(421, 5.383111959875551, -1.000363599740627)
(422, 0.9000731475669609, -1.000363599740627)
(423, 4.6699850642440035, -1.000363333424519)
(424, 1.6132001097775202, -1.000363333424519)
(425, 4.126475164755742, -1.000363200266465)
(426, 2.1567100092658, -1.000363200266465)
(427, 3.141592653589793, -0.9926112709654616)
(428, 5.654866243829412, -0.9926109380703259)
(429, 0.6283189967711501, -0.9926109380703259)
(430, 4.398230780290143, -0.9926100725429707)
(431, 1.8849545268894443, -0.9926100725429707)
(432, 3.3180363968713507, -0.9852719984753668)
(433, 2.965148910308236, -0.9852719984753668)
(434, 5.47842436476061, -0.9852714658431492)
(435, 0.8047610089980057, -0.9852714658431492)
(436, 4.221786504376369, -0.9852712661060674)
(437, 2.0613988028032173, -0.9852712661060674)
(438, 5.831309720794862, -0.9852709997899578)
(439, 0.4518753866476399, -0.9852709997899578)
(440, 4.574672126726728, -0.9852709997899578)
(441, 1.7085129141367468, -0.9852709997899578)
(442, 5.026548245743669, -0.9786255473428563)
(443, 1.2566370614359172, -0.9786255473428563)
(444, 3.7699106516755356, -0.9786255473428563)
(445, 2.5132746555040506, -0.9786255473428563)
(446, 0.0, -0.9786251478686927)
(447, 6.18725398365718, -0.9770060790839783)
(448, 0.09593146500283121, -0.9770060790839783)
(449, 5.122479569266076, -0.9770059459259245)
(450, 1.160705871071573, -0.9770059459259245)
(451, 3.6739798607853444, -0.9770056796098148)
(452, 2.609205446394242, -0.9770056796098148)
(453, 4.930616389589046, -0.9770056796098148)
(454, 1.3525687844324792, -0.9770056796098148)
(455, 3.865842774146267, -0.9770054132937068)
(456, 2.41734253303332, -0.9770054132937068)
(457, 6.092139717957229, -0.9721004697770256)
